id1;lat;lng;google address
CSO  VENEZIA 7 
VIA  SOLARI ANDREA 5 
CSO  LODI 65 
VIA  SOLARI ANDREA 6 
VIA  ORSINI VINCENZO GIORDANO 2 
LGO  AUGUSTO 10 
VIA  MACCHI MAURO 42 
VIA  SAN PIETRO ALL'ORTO 10 
VIA  PADOVA 224 
VIA  DURINI 1 
PLE  SUSA 12 
VIA  ISOTTA CESARE 7 
LGO  ISARCO 2 
VIA  CIRCO 1 
VLE  VITTORIO VENETO 20 
VIA  BAGAROTTI MAFFEO 5 
VIA  CASSINIS GIOVANNI BATTISTA 7 
VIA  ORNATO LUIGI 148 
CSO  BUENOS AIRES 28 
CSO  BUENOS AIRES 21 
CSO  BUENOS AIRES 23 
VLE  ESPINASSE CARLO 110 
VIA  MACCHI MAURO 29 
GLL  VITTORIO EMANUELE 63 
VLE  TIBALDI 3 
PLE  SELINUNTE 2 
CSO  BUENOS AIRES 18 
CSO  BUENOS AIRES 19 
VLE  CASSALA 61 
VIA  ARCO 2 
VIA  PINDARO 7 
LGO  DOMODOSSOLA 1 interno A
VLE  BELISARIO 3 
VLE  TIBALDI 7 
VIA  ALESSANDRIA 3 
VIA  ROMBON 97 
VIA  MONCUCCO 36 interno A
VLE CATERINA DA FORLI'  24 interno 2
VIA GIOVANNI DA PROCIDA 18 
VIA  DE MARCHI EMILIO 10 
VIA  PIRELLI GIOVANNI BATTISTA 30 
VIA  DELLE FORZE ARMATE 199 
VIA PADOVA 200 
VIA  ZOCCHI CESARE 1 
CSO  MATTEOTTI GIACOMO 1 
VIA  MUSSI GIUSEPPE 5 
VIA  GADAMES 57 
CSO  MATTEOTTI GIACOMO 3 
VIA  GALLI MARIO 19 
VLE  ARETUSA 37 
VLE  FAMAGOSTA 44 
VLE  ESPINASSE CARLO 137 
VIA  GROSOTTO 9 
VIA  ORNATO LUIGI 169 
VIA  D'ADDA CARLO 29 
GLL  VITTORIO EMANUELE 79 
VIA  GROSOTTO 7 
VIA  PETROCCHI POLICARPO 36 
FOR  BUONAPARTE 24 
VIA  BORDIGHERA 12 
VLE  STURZO DON LUIGI 20 
VIA  TEANO 6 
PZA  NAPOLI 2 
VIA  BOCCONI FERDINANDO 8 
PTA  BOSSI MAURILIO 4 
VLE  SABOTINO 28 
VIA  ANTONINI GIACOMO 26 
VIA  POERIO CARLO 3 
VIA  SANT' ANDREA 15 
VLE  TIBALDI 35 
VIA  SOLFERINO 39 
VLE  CERTOSA 148 
VLE  MONZA 204 
VIA  SANTO SPIRITO 19 
VIA  SANT' ANDREA 21 
VIA  GIULINI GIORGIO 2 
VIA VENINI GIULIO E CORRADO 38 interno 2
VIA  VENINI GIULIO E CORRADO 37 
VIA  CASSINIS GIOVANNI BATTISTA 23 
VIA  VENINI GIULIO E CORRADO 46 
PAS  DUOMO 2 
VIA  ANDEGARI 18 
VIA  SAN MAMETE 54 
VLE  SABOTINO 15 
VIA  NOE ENRICO 43 
VIA  GUINTELLINO GUGLIELMO 26 interno 29
VIA  SANT' ANDREA 11 
VLE  CERTOSA 135 
LGO  CORSIA DEI SERVI 11 
VIA  PROCACCINI GIULIO CESARE 32 
VLE  TIBALDI 40 interno 1
VIA  SANT' ANDREA 10 interno A
VIA  CAMOZZI GABRIELE 7 
VIA  ALBERICO DA ROSCIATE 5 
VIA  VENINI GIULIO E CORRADO 50 
VLE  CERTOSA 21 
VIA  LENTASIO 1 
VIA  SOLFERINO 11 
CSO  EUROPA 12 
VIA  MESSINA 43 
VIA  PALESTRO 24 
VIA  MILLELIRE DOMENICO 14 
VIA  DEGLI OMENONI 2 
VLE  CERTOSA 29 
VIA  CHIESE 60 
VLE  CERTOSA 36 
VIA  CARNEVALI ANTONIO 28 
VIA  VALLAZZE 104 
VIA GIOIA MELCHIORRE 177 interno 179
VIA  VALLAZZE 108 
CSO  EUROPA 22 
VIA  ANTONINI GIACOMO 32 
VIA  CLITUMNO 20 
VIA  MOROSINI EMILIO 7 
CSO  MAGENTA 10 
VIA  LOSANNA 46 
VLE  MONZA 237 
CSO  MAGENTA 13 
VIA  MINERBI ARRIGO 1 
VIA  GIOVANNI DA PROCIDA 6 
VIA  OLGETTINA 60 
VIA  PALMANOVA 65 
GLL  STRASBURGO 3 
CSO  MONFORTE 19 
VIA  MAGISTRETTI PIETRO 7 
VIA  LORENTEGGIO 3 
VIA  MONTE NAPOLEONE 10 
VIA  VIGEVANO 22 
VIA  MONTE NAPOLEONE 12 
VIA  MONTE NAPOLEONE 11 
VLE  ZARA 123 
VIA  MONTE NAPOLEONE 13 
VLE  MONZA 244 
VIA  QUARENGHI GIACOMO 23 
VIA  SANTA CECILIA 4 
VIA  RISMONDO FRANCESCO 4 
